iter	Passed	Remaining
0	5	40445
1	11	40994
2	18	42065
3	24	43234
4	31	44269
5	38	44683
6	44	44108
7	51	45246
8	58	45147
9	65	45735
10	73	46382
11	80	47014
12	88	47329
13	94	47081
14	100	46618
15	105	46229
16	110	45584
17	117	45618
18	123	45429
19	129	45181
20	136	45258
21	141	45000
22	150	45616
23	157	45715
24	163	45605
25	169	45460
26	174	45066
27	180	44925
28	186	44860
29	194	45219
30	200	45114
31	206	44921
32	212	44896
33	219	44884
34	225	44882
35	232	44900
36	254	47939
37	262	48180
38	269	48092
39	278	48479
40	285	48424
41	293	48598
42	300	48613
43	308	48815
44	313	48509
45	317	47998
46	320	47474
47	324	46993
48	328	46662
49	333	46406
50	340	46350
51	343	45947
52	347	45574
53	351	45161
54	354	44789
55	357	44359
56	361	43978
57	364	43575
58	366	43173
59	370	42874
60	373	42503
61	376	42181
62	379	41830
63	382	41495
64	386	41255
65	390	40992
66	393	40701
67	396	40440
68	399	40169
69	403	39940
70	407	39732
71	410	39494
72	413	39238
73	417	39040
74	420	38812
75	424	38633
76	427	38433
77	430	38191
78	433	38008
79	437	37838
80	440	37665
81	443	37455
82	447	37272
83	451	37147
84	454	36972
85	457	36771
86	460	36591
87	464	36451
88	468	36414
89	487	37464
90	492	37368
91	498	37422
92	501	37279
93	505	37137
94	508	36995
95	513	36927
96	516	36776
97	520	36640
98	523	36496
99	527	36396
100	530	36263
101	534	36120
102	537	35978
103	540	35861
104	544	35776
105	548	35683
106	552	35622
107	557	35579
108	563	35626
109	568	35638
110	573	35575
111	577	35538
112	582	35502
113	586	35423
114	591	35386
115	594	35296
116	598	35210
117	603	35180
118	608	35172
119	613	35173
120	618	35177
121	623	35167
122	629	35172
123	635	35212
124	640	35235
125	646	35288
126	652	35286
127	657	35304
128	662	35312
129	667	35252
130	671	35229
131	677	35267
132	683	35306
133	688	35275
134	694	35320
135	700	35330
136	704	35294
137	709	35279
138	714	35245
139	718	35207
140	724	35247
141	731	35315
142	737	35360
143	745	35474
144	751	35520
145	756	35529
146	763	35588
147	770	35679
148	777	35751
149	786	35921
150	794	36031
151	803	36186
152	810	36275
153	818	36387
154	827	36535
155	835	36670
156	843	36743
157	851	36866
