date,state,district,pincode,age_0_5,age_5_17,age_18_greater,date_str
19-09-2025,Andhra Pradesh,Krishna,521330,2,0,0,19-09-2025
18-11-2025,Andhra Pradesh,Guntur,522015,1,0,0,18-11-2025
22-12-2025,Uttar Pradesh,Unnao,241502,5,0,0,22-12-2025
26-10-2025,Madhya Pradesh,Mandsaur,458883,1,2,0,26-10-2025
19-09-2025,Punjab,Amritsar,143202,2,0,0,19-09-2025
24-12-2025,Maharashtra,Nandurbar,425409,6,1,1,24-12-2025
13-11-2025,Uttar Pradesh,Balrampur (Up),271607,3,3,0,13-11-2025
18-09-2025,Andhra Pradesh,Guntur,522401,1,0,0,18-09-2025
25-11-2025,Maharashtra,Mumbai,400069,2,1,0,25-11-2025
17-11-2025,Karnataka,Belagavi,591110,3,0,0,17-11-2025
28-10-2025,Assam,Karimganj,788806,3,3,0,28-10-2025
29-12-2025,Kerala,Palakkad,678507,2,0,0,29-12-2025
30-10-2025,Tamil Nadu,Madurai,625109,5,0,0,30-10-2025
20-09-2025,Rajasthan,Alwar,301714,1,0,0,20-09-2025
23-09-2025,Tamil Nadu,Chennai,600002,4,1,0,23-09-2025
23-09-2025,West Bengal,North 24 Parganas,700036,0,1,0,23-09-2025
26-12-2025,Rajasthan,Kota,326501,3,2,0,26-12-2025
19-09-2025,Assam,Hailakandi,788801,2,4,0,19-09-2025
18-11-2025,Uttar Pradesh,Kannauj,209725,3,0,0,18-11-2025
25-09-2025,Maharashtra,Jalgaon,425103,2,0,0,25-09-2025
13-10-2025,Tamil Nadu,Ramanathapuram,623308,1,0,0,13-10-2025
15-12-2025,Rajasthan,Bundi,323602,5,1,0,15-12-2025
18-09-2025,Karnataka,Bagalkot,587114,0,1,0,18-09-2025
15-12-2025,Madhya Pradesh,Khandwa,450112,3,1,0,15-12-2025
24-09-2025,Tamil Nadu,Tiruvannamalai,606709,2,0,0,24-09-2025
15-12-2025,West Bengal,Murshidabad,742407,0,0,1,15-12-2025
15-12-2025,Gujarat,Kachchh,370485,2,0,0,15-12-2025
31-10-2025,Karnataka,Gadag,582115,3,1,0,31-10-2025
30-10-2025,Chhattisgarh,Janjgir-Champa,495556,0,1,0,30-10-2025
31-12-2025,Bihar,Patna,800010,0,1,0,31-12-2025
22-09-2025,Bihar,Darbhanga,847428,4,1,0,22-09-2025
27-10-2025,West Bengal,North 24 Parganas,743222,1,0,0,27-10-2025
16-09-2025,Karnataka,Kodagu,571213,1,0,0,16-09-2025
17-10-2025,Odisha,Rayagada,765029,6,1,0,17-10-2025
14-11-2025,Andhra Pradesh,Vizianagaram,535580,2,0,0,14-11-2025
21-10-2025,West Bengal,Jalpaiguri,736202,1,0,0,21-10-2025
21-12-2025,Uttar Pradesh,Gautam Buddha Nagar,201310,2,0,0,21-12-2025
25-11-2025,Kerala,Kottayam,686540,0,1,0,25-11-2025
20-10-2025,Uttar Pradesh,Hardoi,241302,1,3,0,20-10-2025
18-11-2025,Rajasthan,Jodhpur,342037,6,5,0,18-11-2025
17-10-2025,Karnataka,Davanagere,577589,2,0,0,17-10-2025
24-10-2025,Jammu And Kashmir,Kathua,184202,0,1,0,24-10-2025
25-11-2025,West Bengal,Nadia,741248,2,0,0,25-11-2025
27-09-2025,Bihar,Darbhanga,847106,3,2,0,27-09-2025
18-09-2025,Tamil Nadu,Tiruchirappalli,620003,3,0,0,18-09-2025
25-10-2025,Madhya Pradesh,Sidhi,486890,2,0,0,25-10-2025
31-12-2025,Madhya Pradesh,Balaghat,481105,17,9,0,31-12-2025
19-11-2025,Andhra Pradesh,East Godavari,533212,2,0,0,19-11-2025
20-09-2025,West Bengal,Purulia,723127,10,1,0,20-09-2025
17-10-2025,Andhra Pradesh,West Godavari,534305,2,0,0,17-10-2025
16-10-2025,West Bengal,North 24 Parganas,743249,0,1,0,16-10-2025
24-12-2025,West Bengal,Malda,732102,2,0,0,24-12-2025
20-09-2025,West Bengal,Howrah,711106,0,1,0,20-09-2025
25-11-2025,Karnataka,Bengaluru,560040,2,0,0,25-11-2025
21-12-2025,Karnataka,Mandya,571403,4,0,0,21-12-2025
24-09-2025,Karnataka,Udupi,576226,1,0,0,24-09-2025
29-10-2025,Tamil Nadu,Vellore,635808,1,0,0,29-10-2025
