state,district,year,month,enrollment,date,lag_1,lag_2,rolling_mean_3,rolling_std_3,state_avg,district_state_ratio,target_log,sample_weight
Andaman And Nicobar Islands,Andamans,2025,10,14,2025-10-01,27.0,27.0,27.0,0.0,19.25,0.7272727272349468,2.70805020110221,3.7416573867739413
Andaman And Nicobar Islands,Andamans,2025,11,12,2025-11-01,14.0,27.0,20.5,9.192388155425117,27.0,0.44444444442798353,2.5649493574615367,3.4641016151377544
Andaman And Nicobar Islands,Andamans,2025,12,20,2025-12-01,12.0,14.0,17.666666666666668,8.144527815247079,30.75,0.6504065040438892,3.044522437723423,4.47213595499958
Andaman And Nicobar Islands,Nicobar,2025,10,10,2025-10-01,48.0,48.0,48.0,0.0,19.25,0.5194805194535335,2.3978952727983707,3.1622776601683795
Andaman And Nicobar Islands,Nicobar,2025,11,11,2025-11-01,10.0,48.0,29.0,26.870057685088806,27.0,0.40740740739231823,2.4849066497880004,3.3166247903554
Andaman And Nicobar Islands,Nicobar,2025,12,6,2025-12-01,11.0,10.0,23.0,21.656407827707714,30.75,0.19512195121316678,1.9459101490553132,2.449489742783178
Andaman And Nicobar Islands,North And Middle Andaman,2025,10,21,2025-10-01,40.0,40.0,40.0,0.0,19.25,1.0909090908524204,3.091042453358316,4.58257569495584
Andaman And Nicobar Islands,North And Middle Andaman,2025,11,29,2025-11-01,21.0,40.0,30.5,13.435028842544403,27.0,1.0740740740342936,3.4011973816621555,5.385164807134504
Andaman And Nicobar Islands,North And Middle Andaman,2025,12,39,2025-12-01,29.0,21.0,30.0,9.539392014169456,30.75,1.268292682885584,3.6888794541139363,6.244997998398398
Andaman And Nicobar Islands,South Andaman,2025,10,32,2025-10-01,68.0,68.0,68.0,0.0,19.25,1.662337662251307,3.4965075614664802,5.656854249492381
Andaman And Nicobar Islands,South Andaman,2025,11,56,2025-11-01,32.0,68.0,50.0,25.45584412271571,27.0,2.0740740739972563,4.04305126783455,7.483314773547883
Andaman And Nicobar Islands,South Andaman,2025,12,58,2025-12-01,56.0,32.0,52.0,18.33030277982336,30.75,1.8861788617272788,4.07753744390572,7.615773105863909
Andhra Pradesh,Alluri Sitharama Raju,2025,10,267,2025-10-01,387.0,387.0,387.0,0.0,786.6923076923077,0.3393957172186944,5.5909869805108565,16.34013463836819
