state,district,year,month,enrollment,date,lag_1,lag_2,rolling_mean_3,rolling_std_3,state_avg,district_state_ratio,target_log
Andaman And Nicobar Islands,Andamans,2025,9,27,2025-09-01,,,,0.0,45.75,0.5901639344133298,3.332204510175204
Andaman And Nicobar Islands,Andamans,2025,10,14,2025-10-01,27.0,27.0,27.0,0.0,19.25,0.7272727272349468,2.70805020110221
Andaman And Nicobar Islands,Andamans,2025,11,12,2025-11-01,14.0,27.0,20.5,9.192388155425117,27.0,0.44444444442798353,2.5649493574615367
Andaman And Nicobar Islands,Andamans,2025,12,20,2025-12-01,12.0,14.0,17.666666666666668,8.144527815247079,30.75,0.6504065040438892,3.044522437723423
Andaman And Nicobar Islands,Nicobar,2025,9,48,2025-09-01,,,,0.0,45.75,1.0491803278459195,3.8918202981106265
Andaman And Nicobar Islands,Nicobar,2025,10,10,2025-10-01,48.0,48.0,48.0,0.0,19.25,0.5194805194535335,2.3978952727983707
Andaman And Nicobar Islands,Nicobar,2025,11,11,2025-11-01,10.0,48.0,29.0,26.870057685088806,27.0,0.40740740739231823,2.4849066497880004
Andaman And Nicobar Islands,Nicobar,2025,12,6,2025-12-01,11.0,10.0,23.0,21.656407827707714,30.75,0.19512195121316678,1.9459101490553132
Andaman And Nicobar Islands,North And Middle Andaman,2025,9,40,2025-09-01,,,,0.0,45.75,0.8743169398715996,3.713572066704308
Andaman And Nicobar Islands,North And Middle Andaman,2025,10,21,2025-10-01,40.0,40.0,40.0,0.0,19.25,1.0909090908524204,3.091042453358316
Andaman And Nicobar Islands,North And Middle Andaman,2025,11,29,2025-11-01,21.0,40.0,30.5,13.435028842544403,27.0,1.0740740740342936,3.4011973816621555
Andaman And Nicobar Islands,North And Middle Andaman,2025,12,39,2025-12-01,29.0,21.0,30.0,9.539392014169456,30.75,1.268292682885584,3.6888794541139363
Andaman And Nicobar Islands,South Andaman,2025,9,68,2025-09-01,,,,0.0,45.75,1.4863387977817195,4.23410650459726
Andaman And Nicobar Islands,South Andaman,2025,10,32,2025-10-01,68.0,68.0,68.0,0.0,19.25,1.662337662251307,3.4965075614664802
Andaman And Nicobar Islands,South Andaman,2025,11,56,2025-11-01,32.0,68.0,50.0,25.45584412271571,27.0,2.0740740739972563,4.04305126783455
Andaman And Nicobar Islands,South Andaman,2025,12,58,2025-12-01,56.0,32.0,52.0,18.33030277982336,30.75,1.8861788617272788,4.07753744390572
Andhra Pradesh,Alluri Sitharama Raju,2025,9,387,2025-09-01,,,,0.0,1299.8846153846155,0.2977187324316436,5.961005339623274
Andhra Pradesh,Alluri Sitharama Raju,2025,10,267,2025-10-01,387.0,387.0,387.0,0.0,786.6923076923077,0.3393957172186944,5.5909869805108565
Andhra Pradesh,Alluri Sitharama Raju,2025,11,315,2025-11-01,267.0,387.0,327.0,84.8528137423857,1128.1923076923076,0.2792077182692783,5.755742213586912
Andhra Pradesh,Alluri Sitharama Raju,2025,12,245,2025-12-01,315.0,267.0,323.0,60.398675482166,798.1153846153846,0.30697315791971563,5.5053315359323625
Andhra Pradesh,Anakapalli,2025,9,150,2025-09-01,,,,0.0,1299.8846153846155,0.1153948575316448,5.017279836814924
Andhra Pradesh,Anakapalli,2025,10,79,2025-10-01,150.0,150.0,150.0,0.0,786.6923076923077,0.10042045565646764,4.382026634673881
Andhra Pradesh,Anakapalli,2025,11,171,2025-11-01,79.0,150.0,114.5,50.204581464244875,1128.1923076923076,0.15156990420332253,5.147494476813453
Andhra Pradesh,Anakapalli,2025,12,124,2025-12-01,171.0,79.0,133.33333333333334,48.21134029803914,798.1153846153846,0.15536600645732546,4.8283137373023015
Andhra Pradesh,Ananthapuramu,2025,9,2616,2025-09-01,,,,0.0,1299.8846153846155,2.0124863153518855,7.869783902530146
Andhra Pradesh,Ananthapuramu,2025,10,1884,2025-10-01,2616.0,2616.0,2616.0,0.0,786.6923076923077,2.394837195655507,7.541683099882111
Andhra Pradesh,Ananthapuramu,2025,11,2346,2025-11-01,1884.0,2616.0,2250.0,517.6021638285528,1128.1923076923076,2.07943272082453,7.760893195851024
Andhra Pradesh,Ananthapuramu,2025,12,1476,2025-12-01,2346.0,1884.0,2282.0,370.172932559905,798.1153846153846,1.8493566575081641,7.29776828253138
Andhra Pradesh,Annamayya,2025,9,306,2025-09-01,,,,0.0,1299.8846153846155,0.2354055093645554,5.726847747587197
Andhra Pradesh,Annamayya,2025,10,175,2025-10-01,306.0,306.0,306.0,0.0,786.6923076923077,0.22245037645420046,5.170483995038151
Andhra Pradesh,Annamayya,2025,11,281,2025-11-01,175.0,306.0,240.5,92.63098833543772,1128.1923076923076,0.24907101217037209,5.641907070938114
Andhra Pradesh,Annamayya,2025,12,233,2025-12-01,281.0,175.0,254.0,69.54854419756032,798.1153846153846,0.29193773793997446,5.455321115357702
Andhra Pradesh,Bapatla,2025,9,134,2025-09-01,,,,0.0,1299.8846153846155,0.10308607272826936,4.90527477843843
Andhra Pradesh,Bapatla,2025,10,79,2025-10-01,134.0,134.0,134.0,0.0,786.6923076923077,0.10042045565646764,4.382026634673881
Andhra Pradesh,Bapatla,2025,11,152,2025-11-01,79.0,134.0,106.5,38.890872965260115,1128.1923076923076,0.13472880373628668,5.030437921392435
Andhra Pradesh,Bapatla,2025,12,117,2025-12-01,152.0,79.0,121.66666666666667,38.03068936179481,798.1153846153846,0.14659534480247643,4.770684624465665
Andhra Pradesh,Chittoor,2025,9,2572,2025-09-01,,,,0.0,1299.8846153846155,1.978637157142603,7.8528278122817445
Andhra Pradesh,Chittoor,2025,10,1644,2025-10-01,2572.0,2572.0,2572.0,0.0,786.6923076923077,2.0897623936611747,7.405495663199472
Andhra Pradesh,Chittoor,2025,11,2254,2025-11-01,1644.0,2572.0,2108.0,656.1950929411161,1128.1923076923076,1.997886339615725,7.720905251936779
Andhra Pradesh,Chittoor,2025,12,1477,2025-12-01,2254.0,1644.0,2156.6666666666665,471.5944585481612,798.1153846153846,1.8506096091731428,7.298445101508147
Andhra Pradesh,Cuddapah,2025,9,1926,2025-09-01,,,,0.0,1299.8846153846155,1.4816699707063192,7.563719668414366
Andhra Pradesh,Cuddapah,2025,10,1310,2025-10-01,1926.0,1926.0,1926.0,0.0,786.6923076923077,1.665199960885729,7.1785454837637
Andhra Pradesh,Cuddapah,2025,11,1880,2025-11-01,1310.0,1926.0,1618.0,435.57777721091327,1128.1923076923076,1.6663825725277563,7.53955882930103
Andhra Pradesh,Cuddapah,2025,12,1316,2025-12-01,1880.0,1310.0,1705.3333333333333,343.1403988651487,798.1153846153846,1.6488843911116153,7.183111701743281
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,9,220,2025-09-01,,,,0.0,1299.8846153846155,0.16924579104641238,5.3981627015177525
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,10,103,2025-10-01,220.0,220.0,220.0,0.0,786.6923076923077,0.13092793585590085,4.6443908991413725
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,11,185,2025-11-01,103.0,220.0,161.5,82.73149339882606,1128.1923076923076,0.16397913612640155,5.225746673713202
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,12,143,2025-12-01,185.0,103.0,169.33333333333334,60.05275458572515,798.1153846153846,0.17917208809191565,4.969813299576001
Andhra Pradesh,East Godavari,2025,9,2503,2025-09-01,,,,0.0,1299.8846153846155,1.9255555226780463,7.825644732219989
Andhra Pradesh,East Godavari,2025,10,1399,2025-10-01,2503.0,2503.0,2503.0,0.0,786.6923076923077,1.7783318666252939,7.24422751560335
Andhra Pradesh,East Godavari,2025,11,2123,2025-11-01,1399.0,2503.0,1951.0,780.6458864299485,1128.1923076923076,1.8817713837640568,7.66105638236183
Andhra Pradesh,East Godavari,2025,12,1479,2025-12-01,2123.0,1399.0,2008.3333333333333,560.8612424952657,798.1153846153846,1.8531155125030996,7.299797366758161
Andhra Pradesh,Eluru,2025,9,182,2025-09-01,,,,0.0,1299.8846153846155,0.1400124271383957,5.209486152841421
Andhra Pradesh,Eluru,2025,10,104,2025-10-01,182.0,182.0,182.0,0.0,786.6923076923077,0.13219908086421056,4.653960350157523
Andhra Pradesh,Eluru,2025,11,199,2025-11-01,104.0,182.0,143.0,55.154328932550705,1128.1923076923076,0.1763883680494806,5.298317366548036
Andhra Pradesh,Eluru,2025,12,123,2025-12-01,199.0,104.0,161.66666666666666,50.658990646610135,798.1153846153846,0.15411305479234702,4.820281565605037
Andhra Pradesh,Guntur,2025,9,2748,2025-09-01,,,,0.0,1299.8846153846155,2.114033789979733,7.918992488165245
