district,avg_enrollment,district_volatility,cv,spike_rate,error_mape,cluster,cluster_label,recommendation
Adilabad,51.9,33.47706368699991,0.6450301288315007,0.0,0.007871795436296439,2,Highly Volatile + High Enrollment,Allocate resources & monitoring; surge readiness.
Agar Malwa,17.607142857142858,17.57173505991577,0.9979890094314359,0.36363636363636365,0.03856033402725115,0,Stable + Low Error,Low-priority monitoring; periodic audits.
Agra,170.525,96.89698137713061,0.5682274234074909,0.2727272727272727,0.0183776842010178,2,Highly Volatile + High Enrollment,Allocate resources & monitoring; surge readiness.
Ahmedabad,155.97368421052633,119.76903151643194,0.7678797363919747,0.18181818181818182,0.02631274762089878,2,Highly Volatile + High Enrollment,Allocate resources & monitoring; surge readiness.
Ahmednagar,91.76470588235294,66.43705557097768,0.723993554291226,0.7272727272727273,0.029770069851402448,0,Stable + Low Error,Low-priority monitoring; periodic audits.
Aizawl,15.586206896551724,9.908572195612495,0.6357269771113413,0.0,0.0111945727290289,1,Stable + Low Error,Low-priority monitoring; periodic audits.
Ajmer,101.05882352941177,67.30884996360032,0.6660363500406768,0.18181818181818182,0.01284371986072585,2,Highly Volatile + High Enrollment,Allocate resources & monitoring; surge readiness.
Akola,48.48275862068966,32.35364926387216,0.6673227799665293,0.18181818181818182,0.01669559021878196,2,Highly Volatile + High Enrollment,Allocate resources & monitoring; surge readiness.
Alappuzha,41.6551724137931,28.78153656931194,0.690947483849345,0.18181818181818182,0.011179251768325342,2,Highly Volatile + High Enrollment,Allocate resources & monitoring; surge readiness.
Aligarh,131.3846153846154,84.33193045298516,0.6418706650353998,0.2727272727272727,0.022942137824076184,2,Highly Volatile + High Enrollment,Allocate resources & monitoring; surge readiness.
Alipurduar,10.848484848484848,6.72272829717041,0.6196928318049544,0.2727272727272727,0.08568631253001223,0,Stable + Low Error,Low-priority monitoring; periodic audits.
Alirajpur,44.60606060606061,36.90607960920819,0.8273781433944069,0.2727272727272727,0.017229690069700293,2,Highly Volatile + High Enrollment,Allocate resources & monitoring; surge readiness.
