Feature,SHAP_High,Model_High,SHAP_Low,Model_Low
lag_7,0.010710166205472233,0.00077179034,0.01326069272973749,0.0001979776
lag_14,0.0006137734054173988,9.456974e-05,0.0005267064343506734,0.000113242204
rolling_mean_7,0.00278531066194565,0.00011230004,0.008306031382823214,0.00040792464
rolling_std_7,0.001015384231494826,7.660315e-05,0.004906667373134395,0.00025935186
growth_rate_7,0.020981447013824445,0.044546716,0.014873382868623178,0.0007220248
month,0.00016642763802521488,0.00016900405,0.00020410884787002546,0.00025626388
week_of_year,0.000643708890507663,9.9581506e-05,0.0006507409537976498,0.0002617642
day_of_week,0.000830495156115688,0.000103563885,0.0011464218059205565,0.00025768988
district_encoded,0.0026582224340431534,0.00011801413,0.0038240183419186156,0.00025877546
district_volatility,0.0007089031466148814,5.9932525e-05,0.0018124680007452645,0.000101665886
state_avg,0.7028715627313752,0.7916133,0.7149402092007883,0.5750512
pct_of_state,0.3736883435474902,0.16207984,0.574197396895643,0.42190376
is_weekend,0.00022518066394987575,0.0,0.00023196695868092052,0.0
is_month_end,0.00010180982027939051,0.0001548227,0.00014703171392069144,0.00020838444
